episode,agent,algorithm,reward_fn,revenue,market_share,total_reward
4,safeway,PPOAgent,long_term_value,747393.4283999997,0.021772660298844705,214849052.13469985
4,kroger,PPOAgent,promo_aware_profit,456265.4667,0.012746347374766655,71583277.39682002
4,trader_joes,A2CAgent,premium_floor,1096319.4348999998,0.03295740483767957,144133711.594
4,whole_foods,A2CAgent,prestige_reward,342345.91359999997,0.00928506647873814,42933243.10130003
4,aldi,QTableAgent,discount_maximization,8792881.772800067,0.2955235309502876,1481136720.252208
4,costco,QTableAgent,bulk_volume,8992164.00380008,0.3025238650576167,2049995362.1699975
5,walmart,DQNAgent,pure_revenue,518691.21170000016,0.015243568986851062,147318035.57590014
5,target,DQNAgent,profit_margin,333327.8372000001,0.008873526996849491,63540800.50660002
5,amazon_fresh,DQNAgent,market_share,250757.81950000004,0.006519544224022734,770716.6664695985
5,qfc,QTableAgent,revenue_with_inventory,8908649.163800074,0.30402563207736194,1499548197.4417083
5,safeway,PPOAgent,long_term_value,720787.7917000002,0.021298779267371677,224438072.67249975
5,kroger,PPOAgent,promo_aware_profit,408589.97800000006,0.011245678364675677,76977426.17302
5,trader_joes,A2CAgent,premium_floor,378571.73660000006,0.010897265560125114,10241035.482999986
5,whole_foods,A2CAgent,prestige_reward,357826.04929999984,0.00999848162741052,44419313.974599935
5,aldi,QTableAgent,discount_maximization,8829480.386100074,0.3010385254614846,1499394673.1963072
5,costco,QTableAgent,bulk_volume,9105287.650000084,0.3108589974338471,2094875287.0899985
6,walmart,DQNAgent,pure_revenue,473981.2044999998,0.013462189894838154,142599267.45599988
6,target,DQNAgent,profit_margin,320790.38020000013,0.008438280843783813,60267504.497100025
6,amazon_fresh,DQNAgent,market_share,268347.1861,0.006964241938026575,832698.7064296171
6,qfc,QTableAgent,revenue_with_inventory,8970001.232100079,0.3055543437646485,1513286635.9733095
6,safeway,PPOAgent,long_term_value,743985.4809999996,0.02173578729365806,221615574.14189982
6,kroger,PPOAgent,promo_aware_profit,293733.7952000001,0.0075453777074391435,56713775.01686
6,trader_joes,A2CAgent,premium_floor,445639.7344999998,0.012657287242105821,27802804.660100043
6,whole_foods,A2CAgent,prestige_reward,366843.58609999984,0.010157960809873289,47279753.777499996
6,aldi,QTableAgent,discount_maximization,8901719.537000075,0.30301179010020174,1510974037.0871093
